;touch;heat;taste;smell;hearing;sight
touch;311;13;4;4;24;53
heat;7;90;0;0;1;1
taste;1;0;38;1;15;1
smell;NA;NA;NA;NA;NA;NA
hearing;NA;NA;NA;NA;NA;NA
sight;0;1;5;8;13;408
