;touch;heat;taste;smell;hearing;sight
touch;NA;0;2;0;7;4
heat;1;NA;0;1;2;0
taste;1;0;NA;0;2;0
smell;0;1;0;NA;1;0
hearing;0;0;0;0;NA;2
sight;1;1;0;0;7;NA
