;touch;heat;taste;smell;hearing;sight
touch;NA;18;2;10;131;45
heat;0;NA;0;2;4;4
taste;3;9;NA;4;46;10
smell;0;0;0;NA;0;0
hearing;1;0;0;0;NA;3
sight;1;1;0;0;8;NA
