;touch;heat;taste;smell;hearing;sight
touch;NA;2;0;5;145;32
heat;4;NA;0;0;7;26
taste;5;4;NA;10;74;45
smell;0;1;0;NA;0;3
hearing;0;0;0;0;NA;3
sight;1;1;0;3;58;NA
